model,baseline,block_length,n_bootstrap,metric,n_dates,estimate,ci_low,ci_high,p_value,p_holm
Ridge,EWMA,10,2000,qlike_difference,3514,-0.051979762345992546,-0.07327392679568988,-0.03312504491147052,0.0004997501249375312,0.0009995002498750624
LightGBM,EWMA,10,2000,qlike_difference,3514,-0.03459129583915604,-0.06306384200261028,-0.004139658075673137,0.022988505747126436,0.022988505747126436
Ridge,EWMA,20,2000,qlike_difference,3514,-0.051979762345992546,-0.07272789714731005,-0.03323575425518133,0.0004997501249375312,0.0009995002498750624
LightGBM,EWMA,20,2000,qlike_difference,3514,-0.03459129583915604,-0.06293575338710254,-0.006316574871812118,0.017991004497751123,0.017991004497751123
Ridge,EWMA,60,2000,qlike_difference,3514,-0.051979762345992546,-0.07360804604853984,-0.03242131057332015,0.0004997501249375312,0.0009995002498750624
LightGBM,EWMA,60,2000,qlike_difference,3514,-0.03459129583915604,-0.06287136852817071,-0.005370678340586963,0.01899050474762619,0.01899050474762619
