model,feature_set,ticker,qlike,vol_rmse,vol_mae,calibration,n_obs,n_dates
EWMA,baseline,GLD,0.43648971535929115,0.06995861485066485,0.04999487928859583,0.9976642612895744,3514,3514
EWMA,baseline,SPY,0.5911038019423016,0.08788540786179065,0.05642860365229054,0.9936410729752547,3514,3514
EWMA,baseline,TLT,0.30905857149916705,0.06092150139310498,0.04114531752549781,0.9915876347916251,3514,3514
EWMA,baseline,Pooled,0.44555069626691995,0.07377777903688673,0.049189600155461394,0.9943428484988043,10542,3514
HV21,baseline,GLD,0.49626057922004513,0.07305850966566002,0.05170747464245492,0.9977911907399906,3514,3514
HV21,baseline,SPY,0.6825503408628077,0.09092980328792376,0.05679297675070003,0.9969733521539689,3514,3514
HV21,baseline,TLT,0.33334085972575367,0.06391706062792389,0.04203003210134374,0.994422916569451,3514,3514
HV21,baseline,Pooled,0.5040505932695355,0.07679228607063243,0.05017682783149957,0.9964935831975734,10542,3514
LightGBM,full,GLD,0.43176114528596665,0.06794758561353048,0.0501409128745526,0.990714979265027,3514,3514
LightGBM,full,SPY,0.5136515643377341,0.07883821209447242,0.051195723427275824,1.0855621328152476,3514,3514
LightGBM,full,TLT,0.28746549165959084,0.05604820336212636,0.038574335750454415,1.1291777238273648,3514,3514
LightGBM,full,Pooled,0.41095940042776385,0.06824890518556162,0.04663699068409428,1.064457352253995,10542,3514
LightGBM,no_cross,GLD,0.43085868302000757,0.0679161152060818,0.049573728390226265,0.9901732621341456,3514,3514
LightGBM,no_cross,SPY,0.49095683382295924,0.07828258526523628,0.0505267689338567,1.0224427516540522,3514,3514
LightGBM,no_cross,TLT,0.2957682476493974,0.056370674951070975,0.038895683952811975,1.1252080058985399,3514,3514
LightGBM,no_cross,Pooled,0.40586125483078805,0.06811366689814427,0.04633206042563165,1.0391099983049716,10542,3514
LightGBM,risk_only,GLD,0.41752466907449565,0.0713834215310021,0.05298385837993187,0.9135076508164893,3514,3514
LightGBM,risk_only,SPY,0.5711496773423232,0.08485322890806436,0.0569926812927681,0.9628930017523407,3514,3514
LightGBM,risk_only,TLT,0.3056765371526987,0.05938609693129747,0.04125246171924706,1.0284448274102471,3514,3514
LightGBM,risk_only,Pooled,0.43145029452317246,0.07262316396837068,0.05040966713064901,0.9638813717012228,10542,3514
Ridge,full,GLD,0.3937741320783699,0.06728677436463693,0.05011915402748173,0.9687096751655704,3514,3514
Ridge,full,SPY,0.4863519515700026,0.07693959874029471,0.05121498983093694,0.9574237836574666,3514,3514
Ridge,full,TLT,0.3005867181144096,0.06339749220834055,0.04163433178953586,0.9822056522934742,3514,3514
Ridge,full,Pooled,0.3935709339209274,0.06944171147329661,0.04765615854931817,0.9682072316437907,10542,3514
Ridge,no_cross,GLD,0.39091522831790465,0.06709364136535505,0.049414272668024506,0.9739996696428187,3514,3514
Ridge,no_cross,SPY,0.4830076103247757,0.07762321074178778,0.050874900472993145,0.960903524296793,3514,3514
Ridge,no_cross,TLT,0.2998062459631158,0.06407002402867808,0.04178557987215545,0.97314418185102,3514,3514
Ridge,no_cross,Pooled,0.391243028201932,0.06983763917488016,0.04735825100439103,0.9686844025975571,10542,3514
Ridge,risk_only,GLD,0.4118869064810572,0.07070554421720994,0.05315854070995475,0.8962354991344547,3514,3514
Ridge,risk_only,SPY,0.5364746027966376,0.08381482490769707,0.057274430859951465,0.9667088149598407,3514,3514
Ridge,risk_only,TLT,0.30060161041204414,0.05903605214519442,0.04068331722777902,1.0130516934559204,3514,3514
Ridge,risk_only,Pooled,0.4163210398965797,0.07190144715801358,0.05037209626589508,0.9550591578752078,10542,3514
