model,feature_set,ticker,qlike,vol_rmse,vol_mae,calibration,n_obs,n_dates,year
LightGBM,risk_only,SPY,0.48925606479708333,0.062438513116001515,0.05110413332732111,0.8267559364133724,250,250,2012
LightGBM,risk_only,TLT,0.3412255618410402,0.058535045806550626,0.04723679829008495,0.8591306206799155,250,250,2012
LightGBM,risk_only,Pooled,0.4454533442221,0.06779526441155119,0.05437804257368184,0.8149977723115603,750,250,2012
Ridge,full,GLD,0.43065311531463635,0.07103761405481111,0.055860344199879425,0.8575150437848885,250,250,2012
Ridge,full,SPY,0.37287439215833884,0.05517830591250856,0.04594230263436235,0.7558595344331962,250,250,2012
Ridge,full,TLT,0.2868573647986876,0.05149280987292121,0.04109043974824135,0.9201998931222323,250,250,2012
Ridge,full,Pooled,0.36346162409055427,0.05984005771661512,0.047631028860827714,0.8451815980458403,750,250,2012
Ridge,no_cross,GLD,0.46672038195938753,0.07585381463471211,0.059612643526942816,0.818957030442005,250,250,2012
Ridge,no_cross,SPY,0.35580474703789355,0.05210730457362216,0.042535142922911585,0.830635551555814,250,250,2012
Ridge,no_cross,TLT,0.2928782460930517,0.050408161040603826,0.04022004309360198,1.01416074840384,250,250,2012
Ridge,no_cross,Pooled,0.37180112503011087,0.060580401352420175,0.04745594318115212,0.8800301830092084,750,250,2012
Ridge,risk_only,GLD,0.4609008302081914,0.07760388502683076,0.06190639822693754,0.7574624769219007,250,250,2012
Ridge,risk_only,SPY,0.4078478243506243,0.05937437568272909,0.04893738398256186,0.7688417368628043,250,250,2012
Ridge,risk_only,TLT,0.29897295130576734,0.05514603194804806,0.04448755820905139,0.84257074764211,250,250,2012
Ridge,risk_only,Pooled,0.3892405352881944,0.06477850543348093,0.05177711347285026,0.7877953150181575,750,250,2012
EWMA,baseline,GLD,1.0003213490472735,0.12538785023300905,0.082172063761498,1.031398920378952,252,252,2013
EWMA,baseline,SPY,0.44565030589340904,0.05143329706345865,0.04249522643427789,0.9204002696136149,252,252,2013
EWMA,baseline,TLT,0.2740891689422461,0.045940486686378325,0.03701516236670179,0.9642613281525891,252,252,2013
EWMA,baseline,Pooled,0.5733536079609761,0.08261966140061093,0.053894150854159224,0.9972125583055566,756,252,2013
HV21,baseline,GLD,1.2866448737237766,0.13404283033352768,0.08908755494964773,1.0206750187548888,252,252,2013
HV21,baseline,SPY,0.5470776860851463,0.05535126432278348,0.04578709418705229,0.9305364646240745,252,252,2013
HV21,baseline,TLT,0.28270814893987417,0.046600870295263185,0.03743764461017793,0.961982471274288,252,252,2013
HV21,baseline,Pooled,0.7054769029162659,0.08794483865512798,0.05743743124895931,0.992232558143876,756,252,2013
LightGBM,full,GLD,1.1726379270731144,0.11364674249301668,0.06619237906819672,1.40873493627124,252,252,2013
LightGBM,full,SPY,0.3229459325740412,0.04271983769062809,0.03324346781378059,1.0368944664172655,252,252,2013
LightGBM,full,TLT,0.25865561236736984,0.04320660645553128,0.03554424185729097,1.0609343371281335,252,252,2013
LightGBM,full,Pooled,0.5847464906715085,0.07440290642394469,0.04499336291308943,1.2480489151198848,756,252,2013
LightGBM,no_cross,GLD,1.275679749049705,0.11976423613740515,0.07324753495050866,1.1210624279714798,252,252,2013
LightGBM,no_cross,SPY,0.3607665751985794,0.044439850033317393,0.03403038360225163,1.0823319228158796,252,252,2013
LightGBM,no_cross,TLT,0.2570719923689855,0.043390209783096066,0.03560615786143379,1.0312999657837985,252,252,2013
LightGBM,no_cross,Pooled,0.6311727722057566,0.07789112665248626,0.04762802547139802,1.0938202882409256,756,252,2013
LightGBM,risk_only,GLD,0.8026818728637419,0.1209490307403813,0.08107191716830713,1.0205244210766171,252,252,2013
LightGBM,risk_only,SPY,0.41099873328874204,0.05217578580004148,0.043131595224540575,0.8242157713751662,252,252,2013
LightGBM,risk_only,TLT,0.25885272339743776,0.046507426401983507,0.03757905993379497,0.8984993806697666,252,252,2013
LightGBM,risk_only,Pooled,0.4908444431833072,0.0806513512418844,0.05392752410888089,0.9561485289656741,756,252,2013
Ridge,full,GLD,0.871071154937853,0.11404530581962995,0.07012769686398432,1.4446657252439605,252,252,2013
Ridge,full,SPY,0.3918429388462026,0.04878652099524746,0.0395889858614507,0.8388390268277949,252,252,2013
Ridge,full,TLT,0.3010789814965931,0.0449816199646443,0.035914514511260716,1.1215561450534441,252,252,2013
Ridge,full,Pooled,0.5213310250935496,0.07617918032497752,0.04854373241223191,1.227728998127409,756,252,2013
Ridge,no_cross,GLD,0.8719660390918372,0.11418668689044961,0.07127000517780865,1.345513934962773,252,252,2013
Ridge,no_cross,SPY,0.40558930752553,0.051278571764832734,0.042671158043498664,0.7986800814102883,252,252,2013
Ridge,no_cross,TLT,0.2648240424298609,0.044687202984308554,0.036422135581267605,0.9797022898748565,252,252,2013
Ridge,no_cross,Pooled,0.5141264630157427,0.07673555780692431,0.050121099600858296,1.1309039448391327,756,252,2013
Ridge,risk_only,GLD,0.775573245176996,0.1162550243382921,0.07633689400814717,1.09992196940519,252,252,2013
Ridge,risk_only,SPY,0.45538860686905747,0.05654252179985261,0.047118668849842185,0.744465112897139,252,252,2013
Ridge,risk_only,TLT,0.2661547250417513,0.04648202259725855,0.03785376708293484,0.9080034707094002,252,252,2013
Ridge,risk_only,Pooled,0.49903885902926826,0.07931554257125091,0.05376977664697473,0.980798050193806,756,252,2013
